id,titulo,preco,marca,modelo,km,ano,tipo,pot_motor,kit_gnv,cor,combustivel,portas,cambio,direcao,municipio,url
1,volkswagen voyage 1.0 flex 12v 4p 2023 - 1344794573 | olx,63390.0,volkswagen,volkswagen voyage 1.0 flex 12v 4p,49798,2023,sedã,1.0,0,branco,flex,4.0,manual,hidráulica,são bernardo do campo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-voyage-2023-1-0-12v-mpi-totalflex-4p-manual-1344794573
2,fiat argo drive 1.0 firefly 2024 - 1347684544 | olx,73990.0,fiat,fiat argo drive 1.0 firefly,47248,2024,hatch,1.0,0,branco,flex,4.0,manual,elétrica,contagem,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2024-1-0-firefly-flex-drive-manual-1347684544
3,volkswagen voyage 1.0 flex 12v 4p 2023 - 1352204715 | olx,59590.0,volkswagen,volkswagen voyage 1.0 flex 12v 4p,44762,2023,sedã,1.0,0,branco,flex,4.0,manual,hidráulica,são bernardo do campo,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-voyage-2023-1-0-12v-mpi-totalflex-4p-manual-1352204715
4,hyundai hb20x style 1.6 flex 16v mec. 2014 - 1352254894 | olx,52900.0,hyundai,hyundai hb20x style 1.6 flex 16v mec.,116000,2014,hatch,1.6,0,branco,flex,4.0,manual,hidráulica,sorocaba,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20x-style-2014-1352254894
27,volkswagen polo 1.0 mpi flex 12v 5p 2023 - 1344863692 | olx,76190.0,volkswagen,volkswagen polo 1.0 mpi flex 12v 5p,54463,2023,hatch,1.0,0,cinza,flex,4.0,manual,mecânica,ribeirão preto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-2023-1-0-mpi-track-manual-1344863692
28,chevrolet plus premier 1.0 12v tb flex aut. 4p 2024 - 1350997348 | olx,112290.0,chevrolet,chevrolet plus premier 1.0 12v tb flex aut. 4p,11775,2024,hatch,1.0,0,cinza,flex,4.0,automático,elétrica,ribeirão preto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2024-1-0-turbo-flex-plus-premier-automatico-1350997348
29,chevrolet hatch ltz 1.0 12v tb flex aut. 4p 2023 - 1352651813 | olx,86690.0,chevrolet,chevrolet hatch ltz 1.0 12v tb flex aut. 4p,32975,2023,hatch,1.0,0,cinza,flex,4.0,automático,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-2023-1-0-turbo-flex-ltz-automatico-1352651813
30,fiat strada endurance 1.4 flex 8v c 2023 - 1352679061 | olx,82790.0,fiat,fiat strada endurance 1.4 flex 8v c,60225,2023,pick-up,1.4,0,prata,flex,4.0,manual,hidráulica,ribeirão preto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-2023-1-4-fire-flex-endurance-cs-manual-1352679061
31,hyundai hb20s comfort style 1.0 tb flex 12v mec. 2024 - 1356546148 | olx,85290.0,hyundai,hyundai hb20s comfort style 1.0 tb flex 12v mec.,13000,2024,sedã,1.0,0,branco,flex,4.0,manual,elétrica,ribeirão preto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20s-2024-1-0-12v-flex-comfort-manual-1356546148
32,hyundai comfort 1.0 flex 12v mec. 2024 - 1358975679 | olx,91690.0,hyundai,hyundai comfort 1.0 flex 12v mec.,39976,2024,sedã,1.0,0,branco,flex,4.0,automático,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20s-2024-1-0-tgdi-flex-comfort-automatico-1358975679
33,chevrolet tracker premier 1.2 turbo 12v flex aut 2024 - 1360633757 | olx,130590.0,chevrolet,chevrolet tracker premier 1.2 turbo 12v flex aut,47653,2024,suv,1.2,0,prata,flex,4.0,automático,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-tracker-2024-1-2-turbo-flex-premier-automatico-1360633757
34,chevrolet spin premier 1.8 8v econo.flex 5p aut. 2023 - 1320240198 | olx,98090.0,chevrolet,chevrolet spin premier 1.8 8v econo.flex 5p aut.,51217,2023,van/utilitário,1.8,0,prata,flex,4.0,automático,elétrica,ribeirão preto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-spin-2023-1-8-premier-8v-flex-4p-automatico-1320240198
35,porsche 718 boxster 2.0 300cv 2024 - 1325716789 | olx,699000.0,porsche,porsche 718 boxster 2.0 300cv,1850,2024,hidráulica,2.0 - 2.9,0,cinza,gasolina,2.0,automático,hidráulica,florianópolis,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/718-boxster-2-0-1325716789
36,renault duster intense 1.6 16v flex aut 2024 - 1338113558 | olx,102290.0,renault,renault duster intense 1.6 16v flex aut,41885,2024,suv,1.6,0,prata,flex,4.0,automático,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-duster-2024-1-6-16v-sce-flex-intense-x-tronic-1338113558
37,volkswagen t-cross 1.0 tsi flex 12v 5p aut. 2024 - 1344386536 | olx,113290.0,volkswagen,volkswagen t-cross 1.0 tsi flex 12v 5p aut.,47760,2024,suv,1.0,0,prata,flex,4.0,automático,elétrica,itaguaí,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-t-cross-2024-1-0-200-tsi-total-flex-automatico-1344386536
38,fiat toro freedom 1.3 t270 4x2 flex aut 2022 - 1345381764 | olx,126790.0,fiat,fiat toro freedom 1.3 t270 4x2 flex aut,57113,2022,pick-up,1.3,0,prata,flex,4.0,automático,elétrica,ribeirão preto,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-2022-1-3-turbo-270-flex-freedom-at6-1345381764
